,name,link,affiliations,email,cited_by
145,Hasani Ahmad Said,https://scholar.google.com/citations?hl=en&user=t99WozUAAAAJ,"Lektor Kepala, Fakultas Ushuluddin Prodi Ilmu al-Qur'an dan Tafsir UIN Syarif Hidayatullah …",Verified email at uinjkt.ac.id,354
146,Salamah Agung,https://scholar.google.com/citations?hl=en&user=5tldeFcAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,353
147,Laifa Annisa Hendarmin,https://scholar.google.com/citations?hl=en&user=P12PrtAAAAAJ,Faculty of Medicine,Verified email at uinjkt.ac.id,352
148,Nelly Suryani,https://scholar.google.com/citations?hl=en&user=3arFQt4AAAAJ,"Pharmacy Departement, Fakulty of Health Science, UIN Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,350
149,Asep Usman Ismail,https://scholar.google.com/citations?hl=en&user=jZcETlcAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,346
150,RATI JULIANA,https://scholar.google.com/citations?hl=en&user=9i-hC68AAAAJ,UIN Syarif Hidayatullah,Verified email at mhs.uinjkt.ac.id,346
151,Hari Hendarto,https://scholar.google.com/citations?hl=en&user=Rl_Ni8YAAAAJ,Faculty of medicine UIN Syarif Hidyatullah Jakarta,Verified email at uinjkt.ac.id,340
152,Abd. Muid N.,https://scholar.google.com/citations?hl=en&user=UXGO6AsAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,338
153,Muhammad,https://scholar.google.com/citations?hl=en&user=Rmv5dL4AAAAJ,"Islamic Economics and Finance, State Islamic University Syarif Hidayatullah Jakarta …",Verified email at uinjkt.ac.id,337
154,Isalmi Aziz,https://scholar.google.com/citations?hl=en&user=LSrvu-cAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,337
155,Burhanudin Milama,https://scholar.google.com/citations?hl=en&user=RDPwDn4AAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,333
156,Saiful Umam,https://scholar.google.com/citations?hl=en&user=wPA94P8AAAAJ,"Lecturer Islamic History and Civilization, State Islamic University Jakarta",Verified email at uinjkt.ac.id,332
157,Nashrul Hakiem,https://scholar.google.com/citations?hl=en&user=NBbTt8gAAAAJ,"Associate Professor, Universitas Islam Negeri Syarif Hidayatullah",Verified email at uinjkt.ac.id,331
158,Hendrawati,https://scholar.google.com/citations?hl=en&user=8meE5ioAAAAJ,Departemen of Chemistry Faculty of Science and Technology State Islamic University Syarif …,Verified email at uinjkt.ac.id,329
159,Din Wahid,https://scholar.google.com/citations?hl=en&user=-U6TmNcAAAAJ,PPIM UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,326
160,Muniaty Aisyah,https://scholar.google.com/citations?hl=en&user=jKvFNEIAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,326
161,Supriyadi Ahmad,https://scholar.google.com/citations?hl=en&user=iLW1SUUAAAAJ,"UIN Syarif Hidayatullah Jakarta, Indonesia",Verified email at uinjkt.ac.id,325
162,"Dr. Asep Syarifuddin Hidayat, SH, MH",https://scholar.google.com/citations?hl=en&user=fPJ6FZIAAAAJ,Fakultas Syariah dan Hukum UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,325
163,"Asep Saepudin Jahar, MA, Ph.D",https://scholar.google.com/citations?hl=en&user=MkfcKUcAAAAJ,Fakultas Syariah dan Hukum,Verified email at uinjkt.ac.id,324
164,Moch. Syarif Hidayatullah,https://scholar.google.com/citations?hl=en&user=whbGZA4AAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,323
